ID,DateID,LocalisationID,TechnologieID,ImpactEnvironnementalID,CapaciteInstalleeMW,ProductionAnnuelleEnergieMWh,CoutProductionUSD,ReductionEmissionCO2Tonnes,InvestissementTotalUSD,EmploisCrees
1,1,1,1,1,10,10000,5000,100,1000000,5
2,2,2,2,2,20,20000,10000,200,2000000,10
3,3,3,3,3,4,3437,1504,343,3000000,2
4,4,4,4,4,40,40000,20000,400,4000000,20
5,5,5,5,5,41,40530,20010,405,5000000,25
6,6,6,6,6,60,60000,30000,600,6000000,30
7,7,7,7,7,34,34009,15400,340,7000000,13
8,8,8,8,8,80,80000,40000,800,8000000,40
9,9,9,9,9,45,45000,23000,450,9000000,21
10,10,10,10,10,1,1002,501,100,10000000,1
11,11,11,11,11,110,23000,12003,230,11000000,20
12,12,12,12,12,120,120000,60000,1200,12000000,60
13,13,13,13,13,130,130000,65000,1300,13000000,65
14,14,14,14,14,140,140000,70000,1400,14000000,70
